species,Agaricoid,Corti_pileate,Corti_resupinate,Discomycetoid,Gasteromycetoid,Polyp_pileate,Polyp_resupinate,Ramarioid,Stromatoid,Tremelloid,spore_volume,ornamented_spores,thick_spores,cystidia_or_paraphyses
Mycoacia nothofagi,0,0,1,0,0,0,0,0,0,0,31.25,0,0,1
Mycoacia uda,0,0,1,0,0,0,0,0,0,0,26.578125,0,0,1
Neobulgaria pura,0,0,0,0,0,0,0,0,0,1,132.,0,0,1
Oudemansiella mucida,1,0,0,0,0,0,0,0,0,0,2704.,0,1,1
Oxyporus latemarginatus,0,0,0,0,0,0,1,0,0,0,76.5625,0,0,1
Panellus stipticus,1,0,0,0,0,0,0,0,0,0,11.559999999999999,0,0,1
Peniophora boidinii,0,0,1,0,0,0,0,0,0,0,91.875,0,0,1
Peniophora cinerea,0,0,1,0,0,0,0,0,0,0,62.390625,0,0,1
Peniophora incarnata,0,0,1,0,0,0,0,0,0,0,144.,0,0,1
Peniophora limitata,0,0,1,0,0,0,0,0,0,0,105.625,0,0,1
Peniophora lycii,0,0,1,0,0,0,0,0,0,0,168.,0,0,1
Peniophora proxima,0,0,1,0,0,0,0,0,0,0,414.,0,0,1
Peniophora quercina,0,0,1,0,0,0,0,0,0,0,134.75,0,0,1
Peniophorella praetermissa,0,0,1,0,0,0,0,0,0,0,225.625,0,0,1
Peniophorella pubera,0,0,1,0,0,0,0,0,0,0,153.53125,0,0,1
Peziza micropus,0,0,0,1,0,0,0,0,0,0,986.90625,0,0,1
Phanerochaete chrysosporium,0,0,1,0,0,0,0,0,0,0,82.6875,0,0,1
Phanerochaete laevis,0,0,1,0,0,0,0,0,0,0,43.484375,0,0,1
Phanerochaete martelliana,0,0,1,0,0,0,0,0,0,0,212.625,0,0,1
Phanerochaete raduloides,0,0,1,0,0,0,0,0,0,0,31.25,0,0,1
Phanerochaete sanguinea,0,0,1,0,0,0,0,0,0,0,41.59375,0,0,1
Phanerochaete septocystidia,0,0,1,0,0,0,0,0,0,0,13.78125,0,0,1
Phanerochaete sordida,0,0,1,0,0,0,0,0,0,0,45.375,0,0,1
Phanerochaete tuberculata,0,0,1,0,0,0,0,0,0,0,70.4375,0,0,1
Phanerochaete velutina,0,0,1,0,0,0,0,0,0,0,45.375,0,0,1
Phlebia deflectens,0,0,1,0,0,0,0,0,0,0,34.03125,0,0,1
Phlebia lilascens,0,0,1,0,0,0,0,0,0,0,21.515625,0,0,1
Phlebia livida,0,0,1,0,0,0,0,0,0,0,27.84375,0,0,1
Phlebia radiata,0,0,1,0,0,0,0,0,0,0,13.78125,0,0,1
Phlebia rufa,0,0,1,0,0,0,0,0,0,0,27.84375,0,0,1
Phlebia subcretacea,0,0,1,0,0,0,0,0,0,0,14.625,0,0,1
Phlebia subochracea,0,0,1,0,0,0,0,0,0,0,63.,0,0,1
Phlebiella ardosiaca,0,0,1,0,0,0,0,0,0,0,166.375,1,1,1
Phlebiella fibrillosa,0,0,1,0,0,0,0,0,0,0,52.8125,1,0,1
Phlebiella subflavidogrisea,0,0,1,0,0,0,0,0,0,0,20.25,1,0,1
Phlebiella tulasnelloidea,0,0,1,0,0,0,0,0,0,0,111.375,1,0,1
Piloderma byssinum,0,0,1,0,0,0,0,0,0,0,66.796875,0,1,1
Pleurotus ostreatus,1,0,0,0,0,0,0,0,0,0,106.61375,0,0,1
Plicaturopsis crispa,0,1,0,0,0,0,0,0,0,0,3.75,0,0,1
Pluteus cervinus,1,0,0,0,0,0,0,0,0,0,201.20624999999998,0,0,1
Pluteus leoninus,1,0,0,0,0,0,0,0,0,0,196.625,0,0,1
Pluteus salicinus,1,0,0,0,0,0,0,0,0,0,279.,0,0,1
Polyporus varius,0,0,0,0,0,1,0,0,0,0,71.9055,0,0,1
Porostereum crassum,0,0,1,0,0,0,0,0,0,0,79.625,0,0,1
Porostereum spadiceum,0,1,0,0,0,0,0,0,0,0,73.9375,0,0,1
Porotheleum fimbriatum,0,0,1,0,0,0,0,0,0,0,29.6875,0,0,1
Postia hibernica,0,0,0,0,0,0,1,0,0,0,8.59375,0,0,1
Postia septentrionalis,0,0,0,0,0,0,1,0,0,0,8.474625000000001,0,0,1
Postia simanii,0,0,0,0,0,1,0,0,0,0,4.5,0,0,1
Postia subcaesia,0,0,0,0,0,1,0,0,0,0,5.445000000000001,0,0,1
Postia tephroleuca,0,0,0,0,0,1,0,0,0,0,8.203125,0,0,1
Postia undosa,0,0,0,0,0,1,0,0,0,0,8.203125,0,0,1
Propolis farinosa,0,0,0,1,0,0,0,0,0,0,774.,0,0,1
Pseudoclitocybe cyathiformis,1,0,0,0,0,0,0,0,0,0,360.,0,0,1
Pseudotomentella tristis,0,0,1,0,0,0,0,0,0,0,392.,1,0,1
Pycnoporus cinnabarinus,0,0,0,0,0,1,0,0,0,0,49.15625,0,0,1
Radulomyces confluens,0,0,1,0,0,0,0,0,0,0,600.625,0,1,1
Ramaria stricta,0,0,0,0,0,0,0,1,0,0,177.1875,1,0,1
Resinicium bicolor,0,0,1,0,0,0,0,0,0,0,56.25,0,0,1
Resupinatus applicatus,1,0,0,0,0,0,0,0,0,0,125.,0,0,1
Rigidoporus sanguinolentus,0,0,0,0,0,0,1,0,0,0,196.625,0,0,1
Rigidoporus undatus,0,0,0,0,0,0,1,0,0,0,144.703125,0,0,1
Rosellinia mammiformis,0,0,0,0,0,0,0,0,1,0,2227.5,0,0,1
Royoporus badius,0,0,0,0,0,1,0,0,0,0,87.140625,0,0,1
Schizophyllum commune,1,0,0,0,0,0,0,0,0,0,10.125,0,0,1
Schizopora flavipora,0,0,0,0,0,0,1,0,0,0,42.25,0,0,1
Schizopora paradoxa,0,0,0,0,0,0,1,0,0,0,70.4375,0,0,1
Schizopora radula,0,0,0,0,0,0,1,0,0,0,55.125,0,0,1
Scopuloides hydnoides,0,0,1,0,0,0,0,0,0,0,13.5375,0,0,1
Scopuloides rimosa,0,0,1,0,0,0,0,0,0,0,12.25,0,0,1
Scutellinia scutellata,0,0,0,1,0,0,0,0,0,0,2238.5,1,1,1
Scytinostroma hemidichophyticum,0,0,1,0,0,0,0,0,0,0,190.109375,0,0,1
Sebacina dimitica,0,0,1,0,0,0,0,0,0,0,147.21443136834824,0,0,1
Sidera lenis,0,0,0,0,0,0,1,0,0,0,6.640625,0,0,1
Sidera vulgaris,0,0,0,0,0,0,1,0,0,0,4.298124999999999,0,0,1
Sistotrema brinkmannii,0,0,1,0,0,0,0,0,0,0,18.7425,0,0,1
Sistotrema diademiferum,0,0,1,0,0,0,0,0,0,0,50.171875,0,0,1
Sistotrema muscicola,0,0,1,0,0,0,0,0,0,0,36.,0,0,1
Sistotrema oblongisporum,0,0,1,0,0,0,0,0,0,0,13.78125,0,0,1
Sistotrema octosporum,0,0,1,0,0,0,0,0,0,0,37.8125,0,0,1
Sistotrema porulosum,0,0,1,0,0,0,0,0,0,0,26.5625,0,0,1
Sistotrema resinicystidium,0,0,1,0,0,0,0,0,0,0,28.125,0,0,1
Sistotrema subtrigonospermum,0,0,1,0,0,0,0,0,0,0,66.796875,0,0,1
Sistotremastrum suecicum,0,0,1,0,0,0,0,0,0,0,16.078125,0,0,1
Skeletocutis alutacea,0,0,0,0,0,0,1,0,0,0,6.640625,0,0,1
Skeletocutis kuehneri,0,0,0,0,0,0,1,0,0,0,2.2720000000000002,0,0,1
Skeletocutis nivea,0,0,0,0,0,0,1,0,0,0,2.53125,0,0,1
Steccherinum fimbriatum,0,0,1,0,0,0,0,0,0,0,18.500375000000002,0,0,1
Steccherinum ochraceum,0,0,1,0,0,0,0,0,0,0,18.500375000000002,0,0,1
Steccherinum rhois,0,1,0,0,0,0,0,0,0,0,17.71875,0,0,1
Stereum gausapatum,0,1,0,0,0,0,0,0,0,0,120.,0,0,1
Stereum hirsutum,0,1,0,0,0,0,0,0,0,0,58.5,0,0,1
Stereum ochraceoflavum,0,1,0,0,0,0,0,0,0,0,25.,0,0,1
Stereum ostrea,0,1,0,0,0,0,0,0,0,0,39.0625,0,0,1
Stereum rugosum,0,1,0,0,0,0,0,0,0,0,237.5,0,0,1
Stigmatolemma conspersum,0,0,0,0,0,0,1,0,0,0,119.53125,0,0,1
Stigmatolemma urceolatum,0,0,0,0,0,0,1,0,0,0,144.703125,0,0,1
Subulicystidium longisporum,0,0,1,0,0,0,0,0,0,0,102.09375,0,0,1
Tapesia fusca,0,0,0,1,0,0,0,0,0,0,40.,0,0,1
Terana coerulea,0,0,1,0,0,0,0,0,0,0,200.,0,0,1
Thanatephorus fusisporus,0,0,1,0,0,0,0,0,0,0,50.,0,1,1
Tomentella atroarenicolor,0,0,1,0,0,0,0,0,0,0,416.5,1,0,1
Tomentella botryoides,0,0,1,0,0,0,0,0,0,0,295.75,1,0,1
Tomentella bryophila,0,0,1,0,0,0,0,0,0,0,512.,1,0,1
Tomentella cinerascens,0,0,1,0,0,0,0,0,0,0,166.375,1,0,1
Tomentella coerulea,0,0,1,0,0,0,0,0,0,0,330.328125,1,0,1
Tomentella ellisii,0,0,1,0,0,0,0,0,0,0,387.28125,1,0,1
Tomentella ferruginea,0,0,1,0,0,0,0,0,0,0,292.96875,1,0,1
Tomentella fibrosa,0,0,1,0,0,0,0,0,0,0,512.,1,0,1
Tomentella galzinii,0,0,1,0,0,0,0,0,0,0,478.125,1,0,1
Tomentella lapida,0,0,1,0,0,0,0,0,0,0,729.,1,0,1
Tomentella lilacinogrisea,0,0,1,0,0,0,0,0,0,0,392.,1,0,1
Tomentella pilosa,0,0,1,0,0,0,0,0,0,0,478.125,1,0,1
Tomentella ramosissima,0,0,1,0,0,0,0,0,0,0,512.,1,0,1
Tomentella stuposa,0,0,1,0,0,0,0,0,0,0,857.375,1,0,1
Tomentella subclavigera,0,0,1,0,0,0,0,0,0,0,465.484375,1,0,1
Tomentella sublilacina,0,0,1,0,0,0,0,0,0,0,464.0625,1,0,1
Trametes gibbosa,0,0,0,0,0,1,0,0,0,0,22.78125,0,0,1
Trametes hirsuta,0,0,0,0,0,1,0,0,0,0,37.96875,0,0,1
Trametes versicolor,0,0,0,0,0,1,0,0,0,0,22.,0,0,1
Trechispora cohaerens,0,0,1,0,0,0,0,0,0,0,14.,0,1,1
Trechispora confinis,0,0,1,0,0,0,0,0,0,0,16.453125,0,1,1
Trechispora farinacea,0,0,1,0,0,0,0,0,0,0,63.28125,1,1,1
Trechispora hymenocystis,0,0,0,0,0,0,1,0,0,0,76.,1,0,1
Trechispora microspora,0,0,1,0,0,0,0,0,0,0,44.890625,1,0,1
Trechispora mollusca,0,0,0,0,0,0,1,0,0,0,39.609375,1,0,1
Trechispora subsphaerospora,0,0,1,0,0,0,0,0,0,0,64.,0,0,1
Tremella mesenterica,0,0,0,0,0,0,0,0,0,1,731.25,0,0,1
Tremiscus helvelloides,0,0,0,0,0,0,0,0,0,1,338.890625,0,0,1
Trichaptum biforme,0,0,0,0,0,1,0,0,0,0,29.109375,0,0,1
Tulasnella tomaculum,0,0,1,0,0,0,0,0,0,0,41.59375,0,0,1
Tulasnella violea,0,0,1,0,0,0,0,0,0,0,211.25,0,0,1
Tyromyces chioneus,0,0,0,0,0,1,0,0,0,0,13.78125,0,0,1
Vararia investiens,0,0,1,0,0,0,0,0,0,0,105.625,0,0,1
Vesiculomyces citrinus,0,0,1,0,0,0,0,0,0,0,91.125,0,0,1
Vuilleminia comedens,0,0,1,0,0,0,0,0,0,0,738.,0,0,1
Xenasma pruinosum,0,0,1,0,0,0,0,0,0,0,73.5,1,0,1
Xenasmatella vaga,0,0,1,0,0,0,0,0,0,0,94.828125,1,0,1
Xerula radicata,1,0,0,0,0,0,0,0,0,0,1917.625,0,0,1
